"PSP.1stAco12","P2NP.1stAco12","PSP.2ndAco12","P2NP.2ndAco12","PSP.Lam11","P2NP.Lam11","PSP.Lav11","P2NP.Lav11","PSP.San10","P2NP.San10","PSP.San09","P2NP.San09","id"
"79.02","0.385","66.240","0.200","90.91","0.00",NA,NA,NA,NA,"87.41","1.05","G18"
"60.70","1.090","56.870","0.570","80.65","0.00","78.86","1.89","78.13","1.25",NA,NA,"G180"
"76.31","0.080","62.460","0.000","82.51","0.33","81.70","1.00","89.29","1.79","81.43","0.65","G181"
"75.12","1.320","48.480","0.610",NA,NA,NA,NA,"88.97","0.71","84.46","1.01","G182"
"81.49","0.090","74.690","0.000",NA,NA,NA,NA,"88.03","1.41","83.06","0.33","G183"
" 0.00","0.000","22.560","0.000"," 0.00","0.00"," 0.00","0.00","87.41","0.70"," 0.00","0.00","G184"
"83.10","0.000","58.720","0.100","92.25","3.32","85.62","1.37","81.97","0.00","91.58","0.73","G19"
"70.35","0.000","48.510","0.000","85.03","1.36","70.42","1.13","84.75","0.34","75.30","0.30","G2"
"69.89","0.230","64.680","0.300","90.91","1.82",NA,NA,"84.46","0.68","91.91","1.84","G20"
"74.61","0.150","63.420","0.210","88.03","4.23",NA,NA,"79.37","1.59","88.97","3.20","G21"
NA,NA,NA,NA,NA,NA,"10.71","0.00","83.33","0.33","76.92","0.00","G22"
"81.74","0.380","76.940","0.510","88.65","4.26","84.46","0.68","84.75","2.03",NA,NA,"G23"
"84.17","0.090","71.960","0.090","88.97","3.56","88.34","1.77","84.75","0.00","81.17","0.65","G24"
"76.76","1.190","56.560","0.140","86.81","2.78","84.75","1.00","83.33","0.00","75.08","0.30","G25"
"78.43","0.340","63.160","0.210",NA,NA,"82.51","1.00","91.58","1.10","86.81","0.00","G26"
"89.72","0.000","84.580","0.000","89.93","0.72","86.21","0.34","87.72","0.00","83.06","0.33","G27"
"64.64","1.270","59.185","0.690","86.81","1.74","96.53","1.16","76.69","0.00","84.46","0.68","G28"
NA,NA,NA,NA,NA,NA,"75.30","0.90","75.76","0.00",NA,NA,"G29"
NA,NA,NA,NA,"75.08","0.90",NA,NA,"80.13","0.64","72.89","0.29","G3"
NA,NA," 0.000","0.000",NA,NA," 0.00","0.00",NA,NA,NA,NA,"G30"
"69.30","0.000","67.310","0.000","85.91","0.69","85.62","0.68","71.84","0.57","70.82","0.28","G31"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84.18","0.34","G32"
NA,NA,NA,NA," 0.00","0.00"," 0.00","0.00","75.76","0.30"," 0.00","0.00","G33"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76.22","0.30","G34"
" 0.00","0.000"," 0.000","0.000"," 0.00","0.00"," 0.00","0.00",NA,NA," 0.00","0.00","G35"
"66.13","0.110",NA,NA,"88.65","1.42","76.45","0.61","83.89","0.67","79.37","0.00","G36"
" 0.50","0.000"," 0.980","0.000"," 0.00","0.00","39.80","0.50",NA,NA," 0.00","0.00","G37"
"59.79","0.880","49.070","0.410","77.88","0.62",NA,NA,"78.62","0.31","80.65","0.00","G38"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82.78","0.99","G39"
"77.57","3.060","65.360","0.220","87.41","2.10",NA,NA,"87.72","1.05","90.25","1.81","G4"
" 0.17","0.000"," 4.090","0.170",NA,NA," 0.00","0.00"," 0.00","0.00"," 0.00","0.00","G40"
"84.96","0.090","80.210","0.530","89.29","0.00","85.91","0.34","83.33","0.00","63.29","1.27","G41"
" 0.82","0.000"," 0.000","0.000",NA,NA," 0.00","0.00"," 0.00","0.00"," 0.00","0.00","G42"
"69.61","0.700","67.560","0.680","83.06","3.99","76.69","0.61",NA,NA,"83.61","0.67","G43"
"72.63","0.760","72.600","0.160","88.03","2.11",NA,NA,NA,NA,NA,NA,"G44"
" 0.00","0.000"," 0.000","0.000",NA,NA," 0.00","0.00",NA,NA," 0.00","0.00","G45"
"60.54","0.330","60.700","0.000","81.17","2.27","85.62","0.00",NA,NA,"81.70","0.33","G47"
"38.82","0.000","41.720","0.240","80.39","3.86","71.63","1.15","77.16","1.23","75.53","0.60","G48"
"89.43","0.700","70.810","0.080",NA,NA,"80.39","0.32","85.03","1.70","86.81","0.69","G49"
"76.60","0.430","66.450","0.080","75.30","0.60","86.21","0.00","85.62","1.37","85.32","0.34","G5"
"51.01","0.070","48.830","0.170","83.33","2.00","79.87","0.64","85.03","1.36","72.05","0.29","G50"
"61.32","0.370","60.630","0.060","85.62","1.03",NA,NA,"85.62","1.03","70.22","0.00","G51"
NA,NA,NA,NA,"82.51","1.65",NA,NA,NA,NA,"76.45","0.00","G52"
" 0.82","0.000"," 0.000","0.000",NA,NA," 0.00","0.00"," 0.00","0.00"," 0.00","0.00","G53"
"69.54","2.760","68.610","0.300","88.03","1.41",NA,NA,"88.03","2.11","86.21","0.00","G54"
"68.54","1.900","66.430","0.240","78.86","2.84","89.93","1.80","87.72","1.75","84.75","0.68","G55"
"77.80","0.260","72.490","0.320",NA,NA,NA,NA,"85.91","1.03","81.43","0.33","G56"
NA,NA,NA,NA,"80.13","4.17","79.37","2.22","84.46","1.35","82.51","0.99","G57"
"83.84","0.300","74.280","0.160","85.62","1.37","84.46","0.34","83.33","0.00","84.46","1.01","G58"
"72.65","0.000","69.780","0.090","84.75","0.34","80.39","0.00","80.65","0.32","81.97","0.00","G59"
"64.66","0.350","57.780","0.000","86.81","2.43","89.61","0.36",NA,NA,"81.17","0.65","G6"
" 0.00","0.000"," 0.170","0.000",NA,NA," 0.00","0.00"," 0.00","0.00"," 0.00","0.00","G60"
"76.46","2.150","61.675","0.165","81.00","3.00","83.89","1.34","88.97","0.36","82.78","1.32","G61"
NA,NA,NA,NA,NA,NA,NA,NA," 0.00","0.00",NA,NA,"G62"
NA,NA,NA,NA,NA,NA,"79.37","1.27",NA,NA,"80.65","1.29","G63"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81.43","2.28","G64"
"72.83","0.320","69.010","0.000","82.00","2.00","89.29","0.00","90.91","0.73","81.43","0.98","G65"
"72.62","1.840","54.800","0.500","77.00","2.00","78.62","0.94","87.72","1.40","81.17","3.25","G66"
"54.85","0.000","57.250","0.100","75.00","1.00","72.67","1.74","74.85","1.50","79.11","0.00","G67"
"91.03","0.300","76.980","0.080","92.00","1.00","90.91","0.00","88.03","0.35","84.18","0.67","G68"
"75.66","0.320","71.700","0.330","88.00","0.00",NA,NA,"86.21","0.00","91.24","0.73","G69"
"64.87","0.290","58.950","0.340","76.92","3.08","88.34","1.06","79.11","0.32","91.58","0.37","G7"
NA,NA,NA,NA,NA,NA,"87.11","1.00","90.25","0.72",NA,NA,"G70"
"65.25","0.210","49.510","0.170","79.00","1.00",NA,NA,"88.65","1.06","87.41","0.00","G71"
"77.16","0.130","61.710","0.370","82.00","0.00","73.75","0.29",NA,NA,"85.03","0.00","G72"
NA,NA,NA,NA,NA,NA,"71.63","0.00","86.21","0.34","80.13","0.96","G73"
"81.72","1.180","78.380","0.260","85.00","2.00",NA,NA,"89.61","1.08","83.89","0.67","G74"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G75"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54.70","0.00","G76"
NA,NA,NA,NA,NA,NA,NA,NA,"88.97","1.07","73.53","0.00","G77"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.00","0.00","G78"
NA,NA,NA,NA,NA,NA,"72.00","1.73",NA,NA,"73.53","0.29","G79"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87.11","1.39","G8"
NA,NA,NA,NA,NA,NA,"86.81","1.74",NA,NA,"74.40","0.00","G80"
NA,NA,NA,NA,NA,NA,NA,NA," 0.00","0.00"," 0.00","0.00","G81"
"62.35","1.950","44.740","0.350","76.00","2.00","72.89","1.17",NA,NA,"76.22","0.00","G82"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71.43","0.29","G83"
"75.38","0.000",NA,NA,NA,NA,NA,NA,NA,NA,"78.86","0.32","G84"
"65.38","0.970",NA,NA,"78.00","2.00","72.00","1.73",NA,NA,"85.91","2.75","G85"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85.32","0.00","G86"
"84.15","1.040","83.280","0.740","83.00","1.00","87.72","1.05",NA,NA,"89.29","1.43","G87"
"64.39","0.280","65.750","0.120",NA,NA,NA,NA,NA,NA,"88.03","0.00","G88"
NA,NA,NA,NA,NA,NA,"80.65","0.00",NA,NA,NA,NA,"G89"
"81.42","1.270","79.160","0.260","85.62","3.08","81.70","0.00","81.70","0.33","85.03","0.00","G9"
"68.17","0.120","59.270","0.720",NA,NA,"79.62","1.00",NA,NA,"84.46","1.35","G90"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70.03","0.28","G91"
NA,NA,"48.390","0.000","88.00","0.00",NA,NA,NA,NA,"79.62","0.00","G94"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G95"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"86.51","1.38","G96"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G97"
NA,NA," 0.170","0.000",NA,NA," 0.00","0.00",NA,NA," 0.00","0.00","G98"
" 0.00","0.000"," 0.330","0.000",NA,NA," 0.00","0.00",NA,NA,NA,NA,"G99"
