"V1" "V2"
"279" "*M279" "pPt-538788"
"280" "*M280" "pPt-654934"
"281" "*M281" "pPt-458325"
"282" "*M282" "pPt-470707"
"283" "*M283" "pPt-540454"
"284" "*M284" "pPt-536535"
"285" "*M285" "pPt-473161"
"286" "*M286" "pPt-651578"
"287" "*M287" "pPt-537377"
"288" "*M288" "pPt-652927"
"289" "*M289" "pPt-471414"
"290" "*M290" "pPt-472750"
"291" "*M291" "PM1350_231"
"292" "*M292" "pPt-472859"
"293" "*M293" "stsnp_c1_5532"
"294" "*M294" "MICRO.9324.C1_542"
"295" "*M295" "stsnp_c1_5612"
"296" "*M296" "stsnp_c1_5605"
"297" "*M297" "pPt-471848"
"298" "*M298" "pPt-536343"
"299" "*M299" "pPt-457615"
"300" "*M300" "toPt-439232"
"301" "*M301" "PM1307_158"
"302" "*M302" "pPt-559310"
"303" "*M303" "pPt-540331"
"304" "*M304" "MICRO.637.C1_809"
"305" "*M305" "stsnp_c1_13519"
"306" "*M306" "stsnp_c1_1419"
"307" "*M307" "stsnp_c1_1401"
"308" "*M308" "MICRO.7279.C2_1718"
"309" "*M309" "pPt-539594"
"310" "*M310" "toPt-438644"
"311" "*M311" "toPt-439913"
"312" "*M312" "pPt-472613"
"313" "*M313" "pPt-474105"
"314" "*M314" "pPt-539858"
"315" "*M315" "toPt-438452"
"316" "*M316" "pPt-533701"
"317" "*M317" "pPt-535743"
"318" "*M318" "stsnp_c1_6949"
"319" "*M319" "stsnp_c1_8955"
"320" "*M320" "stsnp_c1_6586"
"321" "*M321" "pPt-473671"
"322" "*M322" "capPt-672308"
"323" "*M323" "pPt-652619"
"324" "*M324" "pPt-539765"
"325" "*M325" "pPt-654358"
"326" "*M326" "pPt-471444"
"327" "*M327" "pPt-535101"
"328" "*M328" "PM0417_163"
"329" "*M329" "stsnp_c1_305"
"330" "*M330" "pPt-539370"
"331" "*M331" "pPt-654733"
"332" "*M332" "MICRO.2880.C1_913"
"333" "*M333" "pPt-472610"
"334" "*M334" "pPt-456590"
"335" "*M335" "pPt-473173"
"336" "*M336" "PM1302_144"
"337" "*M337" "pPt-656604"
"338" "*M338" "stsnp_c1_1"
"339" "*M339" "PM1355_159"
"340" "*M340" "pPt-535392"
"341" "*M341" "stsnp_c1_5"
"342" "*M342" "PM1358_144"
"343" "*M343" "PM1337_198"
"344" "*M344" "pPt-654661"
"345" "*M345" "pPt-536843"
"346" "*M346" "stsnp_c1_16004"
"347" "*M347" "pPt-552174"
"348" "*M348" "stsnp_c1_14606"
"349" "*M349" "pPt-533924"
"350" "*M350" "pPt-650975"
"351" "*M351" "toPt-440308"
"352" "*M352" "stsnp_c1_15222"
"353" "*M353" "capPt-673116"
"354" "*M354" "pPt-458453"
"355" "*M355" "capPt-672993"
"356" "*M356" "pPt-650893"
"357" "*M357" "pPt-458714"
"358" "*M358" "toPt-437558"
"359" "*M359" "pPt-654443"
"360" "*M360" "pPt-535439"
"361" "*M361" "pPt-539509"
